objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Leader 1","36708","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635651","5.90933","6.96804","2.52","3713","1041","thing","Leader 1","2","10","150","150","90","2008","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","Ghenos Games","Dutch; English; French; German; Italian; Spanish","2008","Multilingual edition"
"League of Six","31624","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480226","6.09989","6.79099","2.885","2611","2532","thing","League of Six","3","5","120","120","75","2007","4,5","5","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Leaping Lemmings","29687","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480378","5.82352","6.40759","1.8455","4442","1602","thing","Leaping Lemmings","2","6","72","72","60","2010","3,4,5,6","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Legendary Encounters: An Alien Deck Building Game","146652","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50632872","7.37123","7.75456","2.7063","194","19056","thing","Legendary Encounters: An Alien Deck Building Game","1","5","60","60","30","2014","1,2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Upper Deck Entertainment","English","2014","English edition"
"Legends of Andor","127398","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58776242","6.86058","7.08757","2.7656","660","36714","thing","Legends of Andor","2","4","90","90","60","2012","1,2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Leonardo da Vinci","21920","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479138","6.21818","6.7234","3.1808","2123","4749","thing","Leonardo da Vinci","2","5","90","90","90","2006","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Letters from Whitechapel","59959","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","51816067","7.06652","7.33477","2.6386","422","24798","thing","Letters from Whitechapel","2","6","90","90","90","2011","2,3,4,5,6","2","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Libertalia","125618","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635916","6.87182","7.10407","2.2314","646","15249","thing","Libertalia","2","6","60","60","40","2012","3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","asmodee; Marabunta","English","2012","English edition 2012"
"Lifeboats","249","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636573","6.15788","6.57886","1.7794","2348","3971","thing","Lifeboats","3","6","90","90","90","2006","5,6","6","10+","No necessary in-game text","","","","","","standalone","","Z-Man Games","English; German","2006","Z-Man English edition"
"Light Speed","5534","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481164","5.79578","6.34128","1.1667","4743","1718","thing","Light Speed","2","5","10","10","10","2003","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Ligretto","943","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480001","5.91953","6.18905","1.1683","3642","11752","thing","Ligretto","2","4","10","10","10","1988","3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Limes","153623","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479434","6.00075","6.816","1.8333","3112","2274","thing","Limes","1","2","20","20","20","2014","1,2","1","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Limits","1253","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50638222","5.59542","5.95811","1.1379","9403","1046","thing","Limits","2","6","45","45","45","2001","3,4,5,6","3,4","6+","No necessary in-game text","","","","","","standalone","","AMIGO","German","2001","German first edition"
"Linie 1","1597","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50633330","5.9055","6.45766","2.0621","3739","2644","thing","Streetcar","2","5","60","60","60","1995","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","Goldsieber Spiele","German","1995","German first edition"
"Lisboa","161533","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478936","7.71035","8.17193","4.5733","66","18453","thing","Lisboa","1","4","120","120","60","2017","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Os Lobisomens d'Aldeia Velha","25821","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50634261","6.42207","6.67888","1.3114","1487","23510","thing","The Werewolves of Miller's Hollow","8","18","30","30","30","2001","8,9,10,11,12,13,14,15,16,17,18","10,11,12,13,14,15","10+","No necessary in-game text","","","","","","standalone","","Morapiaf","Portuguese","2001","Portuguese edition"
"Loco Motive","41052","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481244","5.75389","6.43344","1.0816","5272","1659","thing","Loco Motive","4","8","15","15","15","2009","4,6,8","6,8","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Logistico","8096","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50633661","5.63686","6.2515","2.7222","7707","556","thing","Logistico","2","5","60","60","60","2003","2,3,4","2,3","10+","No necessary in-game text","","","","","","standalone","","Cwali","Dutch; English; French; German","2003","Dutch/English/French/German edition"
"London","65781","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","52640499","6.85783","7.32373","2.8862","664","6027","thing","London","2","4","90","90","90","2010","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Long Shot","40237","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635858","6.10173","6.70693","1.7449","2606","2383","thing","Long Shot","3","8","60","60","60","2009","3,4,5,6,7,8","5","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Z-Man Games","English","2009","English edition"
"Loony Quest","136991","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58797872","6.50578","6.86574","1.1875","1281","10575","thing","Loony Quest","2","5","30","30","20","2015","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Loopin' Louie","327","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636189","6.47995","6.73106","1.0512","1341","12903","thing","Loopin' Louie","2","4","10","10","10","2005","2,4","4","4+","No necessary in-game text","","","","","","standalone","","Hasbro","English","2005","English edition 2005"
"The Lord of the Rings: The Card Game","77423","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58775763","7.3856","7.661","3.2187","182","38599","thing","The Lord of the Rings: The Card Game","1","2","60","60","30","2011","1,2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Lord of the Rings: The Confrontation","3201","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479450","6.78021","7.22239","2.15","768","8744","thing","Lord of the Rings: The Confrontation","2","2","30","30","30","2002","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Lords of Scotland","67888","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637887","6.08552","6.75961","1.9273","2675","3544","thing","Lords of Scotland","2","5","35","35","35","2010","2,3,4,5","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Evertide Games; Z-Man Games","English","2010","English first edition"
"Lords of Waterdeep","110327","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58775696","7.5838","7.73002","2.449","103","73511","thing","Lords of Waterdeep","2","5","120","120","60","2012","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Lorenzo il Magnifico","203993","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58775776","7.49407","7.83074","3.2845","135","17605","thing","Lorenzo il Magnifico","2","4","120","120","60","2016","2,3,4","3,4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"The Lost Expedition","216459","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58219741","6.64715","7.03596","1.8701","998","14337","thing","The Lost Expedition","1","5","50","50","30","2017","1,2,3","1","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Lost Temple","102835","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480596","5.61009","5.87465","1.74","8723","1690","thing","Lost Temple","2","8","40","40","40","2011","3,4,5,6,7","5,6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Louis XIV","13642","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480574","6.57485","7.03742","3.004","1132","6715","thing","Louis XIV","2","4","100","100","75","2005","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Love Letter","129622","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","53318077","7.12299","7.22571","1.1845","362","116202","thing","Love Letter","2","4","20","20","20","2012","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Luna","70512","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480394","6.73423","7.28081","3.323","837","6940","thing","Luna","1","4","100","100","60","2010","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Lupusburg","29352","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481390","5.50569","5.52383","1.6875","23354","485","thing","Lupusburg","4","8","40","40","20","2008","5,6,7,8","7,8","14+","No necessary in-game text","","","","","","standalone","","","","",""
"M","872","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635362","5.68277","6.34403","1.9615","6536","725","thing","M","2","6","30","30","30","2000","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","ABACUSSPIELE; Grünspan-Spiele","German","2000","German edition"
"Die Macher","1","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50633653","6.99418","7.58076","4.307","493","8512","thing","Die Macher","3","5","240","240","240","2006","4,5","5","14+","No necessary in-game text","","","","","","standalone","","Valley Games, Inc.","Dutch; English; French; German; Italian; Spanish","2006","Multilingual edition 2006"
"Madame Ching","154443","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481636","5.82839","6.43485","2.1509","4398","1887","thing","Madame Ching","2","4","45","45","30","2014","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Mafia de Cuba","176558","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636942","6.15293","6.51275","1.4731","2368","8516","thing","Mafia de Cuba","6","12","20","20","10","2015","6,7,8,9,10,11,12","8,9,10","10+","No necessary in-game text","","","","","","standalone","","asmodee","Catalan; Portuguese; Spanish","2015","Iberian edition"
"Mage Knight Board Game","96848","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481783","7.83788","8.08017","4.373","39","47497","thing","Mage Knight Board Game","1","4","240","240","60","2011","1,2,3","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"The Magic Labyrinth","41916","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478718","6.43137","6.81323","1.2091","1467","12762","thing","The Magic Labyrinth","2","4","30","30","20","2009","2,3,4","3,4","4+","No necessary in-game text","","","","","","standalone","","","","",""
"Magic Maze","209778","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50632583","6.78007","6.9399","1.7488","769","37205","thing","Magic Maze","1","8","15","15","15","2017","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","Sit Down!","English","2017","English edition 2017, second printing"
"Magnet","33156","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635352","5.54164","6.24413","2.3333","14095","340","thing","Magnet","2","2","30","30","30","2008","2","2","6+","No necessary in-game text","","","","","","standalone","","Z-Man Games","English","2008","English edition"
"Maharaja: The Game of Palace Building in India","9440","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480953","6.58584","7.09524","3.1698","1112","5963","thing","Maharaja: The Game of Palace Building in India","2","5","90","90","90","2004","3,4,5","4,5","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Maiden's Quest","240843","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58799941","5.68302","6.49046","2.4091","6529","1403","thing","Maiden's Quest","1","5","30","30","10","2018","1,2","1","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Make 'n' Break","10206","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636330","5.67738","6.01982","1.2527","6660","3214","thing","Make 'n' Break","2","4","30","30","30","2004","1,2,3,4","2","4+","No necessary in-game text","","","","","","standalone","","Ravensburger","German","2004","Ravensburger German edition 2004"
"Manhattan","199","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635808","6.37952","6.73198","1.9227","1606","8610","thing","Manhattan","2","4","45","45","45","1994","3,4","4","8+","No necessary in-game text","","","","","","standalone","","Hans im Glück","German","1994","German second (SdJ) edition"
"The Manhattan Project","63628","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","51709020","6.9487","7.30999","2.9557","552","12618","thing","The Manhattan Project","2","5","120","120","120","2012","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"The Manhattan Project: Chain Reaction","177249","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481040","5.91011","6.45259","1.8491","3709","4279","thing","The Manhattan Project: Chain Reaction","1","5","40","40","30","2016","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Mansions of Madness: Second Edition","205059","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","51816053","7.68584","7.92206","2.6994","71","64188","thing","Mansions of Madness: Second Edition","1","5","180","180","120","2016","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"MarraCash","16","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635054","6.02473","6.98763","2.1633","2975","1477","thing","MarraCash","3","4","60","60","60","1996","3,4","4","12+","No necessary in-game text","","","","","","standalone","","KOSMOS","German","1996","German edition"
"Marrakech","29223","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636120","6.33643","6.7081","1.332","1722","7366","thing","Marrakech","2","4","30","30","30","2010","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","Gigamic","Chinese; Danish; Dutch; English; Estonian; French; German; Greek; Italian; Japanese; Norwegian; Portuguese; Romanian; Russian; Spanish; Swedish","2010","Gigamic multilingual edition 2010"
"Mascarade","139030","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480634","6.33296","6.55271","1.5312","1728","17759","thing","Mascarade","2","13","30","30","30","2013","4,5,6,7,8,9,10,11","6,7,8","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Master Fox","172358","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637395","5.61176","6.21503","1.0714","8634","1066","thing","Master Fox","2","4","20","20","20","2015","2,3,4","4","4+","No necessary in-game text","","","","","","standalone","","IELLO; Superlude Éditions","English","2015","English edition 2015"
"Mechs vs. Minions","209010","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","55060905","7.63306","7.95606","2.457","86","24971","thing","Mechs vs. Minions","2","4","120","120","60","2016","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Medina","1261","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480920","6.40527","7.02945","2.777","1538","4309","thing","Medina","3","4","60","60","60","2001","3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Méditerranée","232","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635585","6.15233","6.84895","3.0423","2370","3308","thing","Serenissima","2","4","120","120","120","1997","3,4","4","12+","No necessary in-game text","","","","","","standalone","","Eurogames","French","1997","French edition"
"Meeple War","192120","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58041629","5.81827","6.52919","2.6897","4494","2224","thing","Meeple War","2","4","60","60","30","2016","3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Meisterrechner","124494","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481931","0","5.16667","0","0","9","thing","Meisterrechner","2","6","30","30","30","2008","","","","","","","","","","standalone","","","","",""
"Merkolino","24669","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637482","0","6.70588","1","0","48","thing","Sparito!","2","4","30","30","30","2008","","","4+","","","","","","","standalone","","Selecta Spielzeug","German","2008","German edition"
"Merkurya","165889","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50632254","5.51513","5.89175","1","20369","201","thing","Safe Breaker","3","6","10","10","10","2015","4,5,6","4,5","10+","No necessary in-game text","","","","","","standalone","","HCM Kinzel","English; French; German; Italian","2015","Multilingual second edition"
"Meteor","166109","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481527","5.58765","6.05322","1.8571","9865","1387","thing","Meteor","1","6","15","15","15","2014","2,3,4,5,6","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Metropolys","25568","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636671","6.52486","7.05762","2.2035","1235","4186","thing","Metropolys","2","4","60","60","30","2008","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","HUCH!; Ystari Games","German","2008","Ystari, HUCH! German edition"
"Meuterer","902","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481939","6.30429","6.86578","2.3137","1815","5844","thing","Meuterer","3","4","60","60","60","2000","4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Mexica","2955","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635623","6.75184","7.2392","2.677","810","9772","thing","Mexica","2","4","90","90","90","2002","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","Ravensburger; Rio Grande Games","English","2002","English first edition"
"Mhing","1452","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481559","5.78167","6.71851","2.1176","4909","1976","thing","Mhing","2","6","60","60","60","1982","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Mice and Mystics","124708","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","55206536","6.95866","7.20799","2.7351","541","41757","thing","Mice and Mystics","1","4","90","90","60","2012","1,2,3,4","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Millions: The Last Soldier","192203","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481411","5.52959","6.4736","1.5455","16350","223","thing","Millions: The Last Soldier","2","5","25","25","15","2015","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","","","",""
"The Mind","244992","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","55304620","6.60254","6.72695","1.0752","1063","66202","thing","The Mind","2","4","20","20","20","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Mini FITS","67910","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480715","5.54168","5.85567","1.2258","14087","540","thing","Mini FITS","1","4","15","15","15","2010","1,2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Mission: Red Planet","18258","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635073","6.4012","6.87613","2.3178","1548","3807","thing","Mission: Red Planet","3","5","60","60","60","2005","3,4,5","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","asmodee","English","2005","English edition"
"Mississippi Queen","256","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50633558","6.0234","6.31363","1.6963","2979","6840","thing","Mississippi Queen","3","5","45","45","45","1997","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","Goldsieber Spiele","German","1997","Goldsieber German first edition"
"MixUp","22399","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637504","5.53256","6.24597","1.6667","15701","185","thing","MixUp","2","2","20","20","20","2006","2","2","","","","","","","","standalone","","Out of the Box Publishing","English","2006","English edition"
"Modern Art","118","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478803","7.32708","7.52107","2.2826","217","32746","thing","Modern Art","3","5","45","45","45","1992","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Modern Art Card Game","40381","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480664","6.07128","6.61205","1.6541","2745","4914","thing","Modern Art Card Game","2","5","30","30","20","2008","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Money!","125","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637973","6.14852","6.59722","1.5639","2391","5755","thing","Money!","2","5","30","30","15","1999","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","Goldsieber Spiele","German","1999","German edition"
"Mr. Jack","21763","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636780","6.77079","6.96192","2.1689","783","25090","thing","Mr. Jack","2","2","30","30","30","2007","2","2","10+","No necessary in-game text","","","","","","standalone","","Hurrican","Dutch; English; French; German; Italian; Portuguese; Spanish","2007","Multilingual edition 2007"
"Mü & More","152","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637960","6.2832","7.15664","2.5585","1879","3403","thing","Mü & More","2","8","60","60","60","2003","4,5,6","5","12+","No necessary in-game text","","","","","","standalone","","Doris & Frank; Rio Grande Games","English; German","2003","Rio Grande English edition"
"Musetagfat","19409","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636406","5.43296","4.7476","1.6364","29288","485","thing","Mouse Chaos","2","4","45","45","30","2003","","","","No necessary in-game text","","","","","","standalone","","Ísöld ehf.","Danish; Finnish; Icelandic; Norwegian; Swedish","2003","Nordic edition"
"Mutant Meeples","109969","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","51513928","5.79009","6.59966","2.4375","4821","1315","thing","Mutant Meeples","2","7","45","45","45","2012","2,3,4,5,6","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"My Village","172381","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","52592828","6.29029","6.92026","3.0943","1855","5579","thing","My Village","2","4","90","90","60","2015","2,3","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Mysterium","181304","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637291","7.05566","7.19724","1.8893","433","81373","thing","Mysterium","2","7","42","42","42","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","Libellud","Spanish","2015","Spanish edition"
"Mystery of the Abbey","915","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58799474","6.28133","6.53794","2.2042","1885","10607","thing","Mystery of the Abbey","3","6","90","90","60","1995","3,4,5,6","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Mystery of the Abbey with The Pilgrims' Chronicles","153912","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635089","5.82251","6.95971","2.2353","0","1582","thing","Mystery of the Abbey with The Pilgrims' Chronicles","3","6","90","90","60","2007","3,4,5,6","4,5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Days of Wonder","English","2007","English edition 2007"
"Nautilus","131616","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636892","5.56465","6.08014","1.5625","11503","308","thing","Nautilus","2","2","25","25","25","2012","2","2","8+","No necessary in-game text","","","","","","standalone","","Libellud","Dutch; English; French; German; Spanish","2012","Multilingual edition"
"Navegador","66589","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","51480960","7.13041","7.5306","3.0831","358","9386","thing","Navegador","2","5","90","90","60","2010","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Nefertiti","35435","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479193","6.19891","6.99006","2.3563","2193","2119","thing","Nefertiti","3","4","45","45","45","2008","3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Neuroshima Hex! 3.0","21241","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50632771","7.07933","7.3859","2.6095","407","17230","thing","Neuroshima Hex","2","4","30","30","30","2013","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","IELLO","French","2013","French 3.0 edition"
"Niagara","13308","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50634911","6.23054","6.45623","1.8335","2069","11506","thing","Niagara","3","5","45","45","30","2005","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","Zoch Verlag","English; German","2005","English/German edition 2005 with SdJ"
"Nicht die Bohne!","192","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50638032","5.76707","6.31999","1.3486","5100","1426","thing","Nicht die Bohne!","3","6","45","45","45","1999","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","AMIGO","German","1999","German edition"
"Ninjato","50768","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50633883","6.39842","7.1565","2.7565","1557","2871","thing","Ninjato","2","4","60","60","60","2011","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","Z-Man Games","English","2011","English edition"
"Nippon: Keiretsu","260921","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58602797","5.6616","7.8373","3.5","0","853","thing","Nippon: Keiretsu","2","4","120","120","60","2018","2,3,4","3","12+","No necessary in-game text","","","","","","expansion","","","","",""
"Noblemen","128931","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635118","5.96982","6.89532","3.0412","3289","1803","thing","Noblemen","3","5","120","120","75","2012","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","Pegasus Spiele","German","2012","German edition"
"Nobody but Us Chickens","6117","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479628","5.61732","6.08656","1.1786","8397","773","thing","Nobody but Us Chickens","3","6","20","20","20","2003","3,4,5,6","5","3+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Norenberc","75091","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635043","5.92034","6.78489","3.0093","3637","1185","thing","Norenberc","2","5","90","90","90","2010","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","White Goblin Games","Dutch; English; French; German","2010","Multilingual first edition"
"Northwest Passage Adventure","128662","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","51816084","5.53214","6.15319","1.7778","15804","302","thing","Northwest Passage Adventure","2","4","40","40","40","2012","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Not Alone","194879","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58798428","6.67088","6.95843","1.9881","943","17895","thing","Not Alone","2","7","45","45","30","2016","3,4,5,6,7","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Nothing Personal","120523","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","55739770","6.28817","7.02542","2.7818","1862","3460","thing","Nothing Personal","3","5","120","120","120","2013","3,4,5","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Notre Dame","25554","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481819","7.03617","7.31108","2.7414","451","14042","thing","Notre Dame","2","5","75","75","45","2007","2,3,4,5","3,4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Nuns on the Run","65515","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479515","6.13077","6.49526","2.0699","2472","6113","thing","Nuns on the Run","2","8","60","60","45","2010","4,5,6,7,8","5,6","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Off Your Rocker","120814","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636860","5.53765","6.12899","1.1429","14739","442","thing","Off Your Rocker","4","12","45","45","45","2012","5,6,7,8,9,10,11,12","7,8,9,10","","","","","","","","standalone","","Stratus Games","English","2012","English edition"
